         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7515    0.006    0.000    0.006    0.000 {built-in method numpy.asanyarray}
      674    0.006    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/numeric.py:341(full_like)
2635/2535    0.005    0.000    0.019    0.000 {built-in method builtins.next}
      226    0.005    0.000    0.008    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:180(__init__)
19593/19542    0.005    0.000    0.005    0.000 {built-in method builtins.len}
      174    0.005    0.000    0.645    0.004 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/genetic.py:35(tournament)
     4753    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
      933    0.005    0.000    0.010    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/copy.py:61(copy)
      860    0.005    0.000    0.011    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1889(__init__)
     2015    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
    11514    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
      672    0.004    0.000    0.042    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/function_base.py:2367(__call__)
     1099    0.004    0.000    0.010    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
     1136    0.004    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
      665    0.004    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:182(set_children)
      672    0.004    0.000    0.038    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/function_base.py:2337(_call_as_normal)
      677    0.004    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/linalg/linalg.py:159(_commonType)
       34    0.004    0.000    1.094    0.032 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/threading.py:637(wait)
 1053/876    0.004    0.000    0.048    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
     5260    0.004    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/__init__.py:690(_get)
      672    0.004    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/twodim_base.py:234(diag)
        2    0.004    0.002    0.004    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
      448    0.004    0.000    0.016    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/copy.py:247(_reconstruct)
     1348    0.004    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/shape_base.py:23(atleast_1d)
